repayment_id,loan_id,repayment_amount,loan_repayment_method_id,repayment_collected_date,collector_id,repayment_backdate,repayment_backdated_date,repayment_adjust_remaining_schedule,repayment_adjust_remaining_schedule_pro_rata,repayment_manual_composition,principal_repayment_amount,interest_repayment_amount,fees_repayment_amount,penalty_repayment_amount,loandisk_system_date,repayment_description,dea_cash_bank_account,branch_id,custom_field_23214
59594291,7542086,20000.0,35307,01/01/2025,73124,,,,,,0.0,17000.0,3000.0,0.0,02/01/2025 6:31am,,,55886,
59752392,6828657,5000.0,35307,02/01/2025,73124,,,,,,4076.57,0.0,0.0,923.43,06/01/2025 3:50am,,,55886,
59752407,6509571,6900.0,35307,02/01/2025,73124,,,,,,5461.2,39.3,0.0,1399.5,06/01/2025 3:51am,,,55886,
59752424,6930067,73175.0,35307,02/01/2025,80134,,,,,,40797.33,29374.08,3003.59,0.0,06/01/2025 3:53am,,,55886,
59752457,6828657,5000.0,35307,03/01/2025,73124,,,,,,4732.95,0.0,0.0,267.05,06/01/2025 3:54am,,,55886,
59752496,7436069,15920.0,35307,03/01/2025,73124,,,,,,8333.33,4000.0,3003.36,583.31,06/01/2025 3:57am,,,55886,
59752502,7498715,3575.0,35307,03/01/2025,73124,,,,,,2896.0,579.0,100.0,0.0,06/01/2025 3:58am,,,55886,
59752570,7444235,25505.0,35307,03/01/2025,73124,,,,,,21205.0,4300.0,0.0,0.0,06/01/2025 4:01am,,,55886,
59752704,6634763,2000.0,35307,04/01/2025,73124,,,,,,0.0,2000.0,0.0,0.0,25/01/2025 9:21am,,,55886,
59752711,7513584,100050.0,35307,04/01/2025,73124,,,,,,82650.0,13050.0,0.0,4350.0,06/01/2025 4:13am,,,55886,
59752788,7481927,25000.0,35307,04/01/2025,73124,,,,,,7000.0,15000.0,3000.0,0.0,06/01/2025 4:15am,,,55886,
59760899,7513584,4437.0,35307,06/01/2025,73124,,,,,,4350.0,0.0,0.0,87.0,06/01/2025 7:46am,,,55886,
59765195,7421985,50000.0,35307,03/01/2025,73124,,,,,,29166.67,14000.0,3916.63,2916.7,06/01/2025 8:25am,,,55886,
59765935,6782198,29063.0,35307,06/01/2025,73124,,,,,,19666.67,9396.33,0.0,0.0,13/01/2025 8:35am,,,55886,
59765953,6782220,3480.0,35307,06/01/2025,73124,,,,,,2800.0,560.0,120.0,0.0,06/01/2025 8:32am,,,55886,
59766339,6634763,4000.0,35307,06/01/2025,73124,,,,,,456.85,3543.15,0.0,0.0,25/01/2025 9:22am,,,55886,
59779500,6748903,3335.0,35307,04/01/2025,80134,,,,,,2402.0,836.0,97.0,0.0,06/01/2025 9:23am,,,55886,
59779589,6748902,17855.0,35307,04/01/2025,80134,,,,,,10375.0,4980.0,2500.0,0.0,08/01/2025 6:31am,,,55886,
59779919,6748903,1780.0,35307,04/01/2025,80134,,,,,,1776.0,0.0,4.0,0.0,08/01/2025 6:33am,,,55886,
59781667,7294632,0.0,35307,06/01/2025,73124,,,,,,0.0,0.0,0.0,0.0,06/01/2025 1:38pm,,,55886,
59781691,6685770,20000.0,35307,06/01/2025,73124,,,,,,11686.76,8313.24,0.0,0.0,06/01/2025 9:35am,,,55886,
59794041,6509571,10200.0,35307,06/01/2025,73124,,,,,,9796.44,0.0,0.0,403.56,06/01/2025 11:57am,,,55886,
59794159,6509571,10500.0,35307,06/01/2025,73124,,,,,,292.36,7707.64,2500.0,0.0,06/01/2025 12:01pm,,,55886,
59794223,7497990,26500.0,35307,06/01/2025,73124,,,,,,10000.0,16500.0,0.0,0.0,06/01/2025 12:04pm,,,55886,
59797526,7294533,32000.0,35307,06/01/2025,73124,,,,,,19166.67,9833.33,3000.0,0.0,06/01/2025 1:26pm,,,55886,
59797842,6414212,3940.0,35307,06/01/2025,73124,,,,,,3200.0,640.0,100.0,0.0,06/01/2025 1:37pm,,,55886,
59813039,6304223,60000.0,35307,07/01/2025,80134,,,,,,36666.67,22916.69,416.64,0.0,07/01/2025 1:24pm,,,55886,
59814188,7500371,27000.0,35307,07/01/2025,73124,,,,,,16140.0,7860.0,3000.0,0.0,07/01/2025 4:56am,,,55886,
59845350,7484075,15090.0,35307,07/01/2025,73124,,,,,,6944.44,5000.0,3006.68,138.88,07/01/2025 9:28am,,,55886,
59846319,7518219,9610.0,35307,07/01/2025,73124,,,,,,5555.56,4054.44,0.0,0.0,07/01/2025 9:29am,,,55886,
59847682,7158071,20000.0,35307,07/01/2025,73124,,,,,,0.0,17665.0,2335.0,0.0,07/01/2025 9:32am,,,55886,
59847795,7500371,0.0,35307,07/01/2025,73124,,,,,,0.0,0.0,0.0,0.0,13/01/2025 9:21am,,,55886,
59848023,6616631,21000.0,35307,07/01/2025,73124,,,,,,11364.52,7250.0,2264.65,120.83,07/01/2025 9:37am,,,55886,
59865141,7468240,18000.0,35307,06/01/2025,73124,,,,,,0.0,15000.0,3000.0,0.0,07/01/2025 11:53am,,,55886,
59867166,6982253,438456.0,35307,07/01/2025,73124,,,,,,312500.01,105000.0,20955.02,0.97,07/01/2025 12:09pm,,,55886,
59867430,7538792,36750.0,35307,07/01/2025,73124,,,,,,30000.0,6750.0,0.0,0.0,07/01/2025 12:10pm,,,55886,
59868133,6664447,31533.0,35307,07/01/2025,73124,,,,,,25780.0,5154.0,599.0,0.0,07/01/2025 12:14pm,,,55886,
59872109,6828657,10000.0,35307,07/01/2025,73124,,,,,,0.0,0.0,9121.12,878.88,07/01/2025 12:32pm,,,55886,
59880642,6634763,2000.0,35307,07/01/2025,73124,,,,,,2000.0,0.0,0.0,0.0,25/01/2025 9:22am,,,55886,
59880770,7481927,60870.0,35307,07/01/2025,73124,,,,,,59666.67,0.0,9.99,1193.34,07/01/2025 1:31pm,,,55886,
59886434,7409612,97040.0,35307,07/01/2025,73124,,,,,,69658.96,10448.84,3000.0,13932.2,07/01/2025 2:09pm,,,55886,
59935228,6616631,600.0,35307,07/01/2025,73124,,,,,,600.0,0.0,0.0,0.0,08/01/2025 6:49am,,,55886,
59935523,6616636,49820.0,35307,06/01/2025,73124,,,,,,29571.48,17750.0,2498.52,0.0,08/01/2025 6:58am,,,55886,
